fips,percent_diff,state,county,votes_dem,votes_gop,total_votes
17179,28.497008540262364,IL,Tazewell County,20568,38620,63347
17181,39.82851773549448,IL,Union County,2389,5780,8514
17183,29.21574549481526,IL,Vermilion County,9876,18582,29799
17185,53.55423917067753,IL,Wabash County,1146,4039,5402
17187,16.675324675324678,IL,Warren County,2983,4267,7700
17189,55.85683297180043,IL,Washington County,1446,5566,7376
17191,71.64486434108527,IL,Wayne County,1048,6963,8256
17193,57.991494032103176,IL,White County,1412,5639,7289
17195,6.314954383181277,IL,Whiteside County,11005,12597,25210
17197,-5.671282773787842,IL,Will County,146230,129726,291010
17199,41.25771752275475,IL,Williamson County,8539,21503,31422
17201,1.1740557565891336,IL,Winnebago County,52595,53922,113027
17203,41.83815565526845,IL,Woodford County,5068,13180,19389
18001,52.458010583633715,IN,Adams County,2802,9642,13039
18003,19.603256806162413,IN,Allen County,55222,83801,145787
18005,33.332304177344156,IN,Bartholomew County,9841,20637,32389
18007,47.04433497536946,IN,Benton County,860,2579,3654
18009,43.674823724595605,IN,Blackford County,1243,3349,4822
18011,29.546801409812545,IN,Boone County,10181,19654,32061
18013,31.5756196256955,IN,Brown County,2518,5015,7908
18015,50.9002206992682,IN,Carroll County,1891,6273,8609
18017,42.01627166607712,IN,Cass County,3758,9697,14135
18019,21.95718534752661,IN,Clark County,18791,30012,51104
18021,55.26245670130562,IN,Clay County,2306,8528,11259
18023,48.00773369199731,IN,Clinton County,2819,8530,11896
18025,36.81115225441081,IN,Crawford County,1323,3013,4591
18027,62.826005961251866,IN,Daviess County,1800,8545,10736
18029,55.31994981179423,IN,Dearborn County,4883,18110,23910
18031,57.38621000450653,IN,Decatur County,2121,8488,11095
18033,48.24571836346337,IN,DeKalb County,3941,12054,16816
18035,13.684869907604197,IN,Delaware County,18100,24217,44699
18037,40.04619169553648,IN,Dubois County,5389,13365,19917
18039,32.434381088253794,IN,Elkhart County,20667,41810,65187
18041,48.13221406086044,IN,Fayette County,2252,6839,9530
18043,20.11551376762928,IN,Floyd County,13939,21427,37225
18045,55.994112924806,IN,Fountain County,1476,5661,7474
18047,60.94631483166515,IN,Franklin County,1967,8665,10990
18049,48.363983759254836,IN,Fulton County,1960,6010,8374
18051,47.56334022750776,IN,Gibson County,3720,11079,15472
18053,39.541978683783036,IN,Grant County,7029,17009,25239
18055,53.374990917677835,IN,Greene County,2929,10275,13763
18057,19.582763783115276,IN,Hamilton County,57214,87299,153630
18059,44.8247147972354,IN,Hancock County,8901,25050,36027
18061,44.34909326424871,IN,Harrison County,4776,12993,18528
18063,34.19038507534083,IN,Hendricks County,22595,48326,75258
18065,43.691158156911584,IN,Henry County,5124,13895,20075
18067,33.90107199216412,IN,Howard County,11215,23675,36754
18069,50.97658695379993,IN,Huntington County,3506,11649,15974
18071,51.41455624001825,IN,Jackson County,3843,12857,17532
18073,45.405445953041784,IN,Jasper County,3329,9382,13331
18075,47.827179100728465,IN,Jay County,1889,5697,7962
18077,31.297823341505087,IN,Jefferson County,4325,8538,13461
18079,52.70355375618534,IN,Jennings County,2364,8222,11115
18081,42.48592006522822,IN,Johnson County,17318,45456,66229
18083,47.180778918814184,IN,Knox County,3772,11077,15483
18085,55.154041432914404,IN,Kosciusko County,6311,23909,31907
18087,51.769262981574535,IN,LaGrange County,2080,7025,9552
18089,-20.640009588158627,IN,Lake County,116896,75565,200247
18091,6.407521002800373,IN,LaPorte County,19795,22678,44994
18093,51.49926609352066,IN,Lawrence County,4210,14034,19076
18095,25.682072307118897,IN,Madison County,18595,32376,53660
18097,-22.83435344946963,IN,Marion County,212676,130228,361070
18099,41.58151932474456,IN,Marshall County,4798,12286,18008
18101,58.539629706677765,IN,Martin County,881,3695,4807
18103,53.63839285714286,IN,Miami County,2766,9975,13440
18105,-23.698870242785,IN,Monroe County,34183,20527,57623
18107,50.91715780411893,IN,Montgomery County,3362,11051,15101
18109,56.555484284797956,IN,Morgan County,6037,23671,31180
18111,46.12329476774305,IN,Newton County,1403,4074,5791
18113,49.10597986974541,IN,Noble County,3904,12198,16890
18115,49.091532396297566,IN,Ohio County,686,2118,2917
18117,45.81756014165344,IN,Orange County,2048,5800,8189
18119,49.35446009389671,IN,Owen County,1946,6151,8520
18121,52.03771289537713,IN,Parke County,1441,4863,6576
18123,18.61682242990654,IN,Perry County,3062,4556,8025
18125,51.88221515810607,IN,Pike County,1297,4398,5977
18127,6.782408617894682,IN,Porter County,33531,38719,76492
18129,39.187017994858614,IN,Posey County,3515,8393,12448
18131,46.47783704248666,IN,Pulaski County,1327,3854,5437
18133,49.59809264305177,IN,Putnam County,3356,10637,14680
18135,48.47934200459066,IN,Randolph County,2446,7515,10456
18137,57.34949179046129,IN,Ripley County,2471,9806,12790
18139,52.21790962018298,IN,Rush County,1525,5292,7214
18143,37.88079470198675,IN,Scott County,2642,6074,9060
18145,47.231669919152495,IN,Shelby County,4247,12718,17935
18147,37.26277738728788,IN,Spencer County,2861,6572,9959
18141,-0.20831049227058437,IN,St. Joseph County,52247,52019,109452
18149,42.03338391502276,IN,Starke County,2489,6367,9226
18151,43.9504473503097,IN,Steuben County,3741,10127,14530
18153,47.02652178992873,IN,Sullivan County,2113,6138,8559
18155,44.737565265182745,IN,Switzerland County,930,2558,3639
18157,5.6592803152658435,IN,Tippecanoe County,27207,30711,61916
18159,53.288948069241016,IN,Tipton County,1587,5589,7510
18161,52.647595861229455,IN,Union County,715,2445,3286
18163,16.851730894839974,IN,Vanderburgh County,28296,40422,71957
18165,35.15116447273253,IN,Vermillion County,2081,4511,6913
18167,15.16843994035735,IN,Vigo County,15922,21924,39569
18169,50.69698099142751,IN,Wabash County,3018,9819,13415
18171,52.48787956111253,IN,Warren County,839,2896,3919
18173,33.93225032929177,IN,Warrick County,9086,19133,29609
18175,49.14850436777552,IN,Washington County,2636,8206,11333
18177,30.130987292277617,IN,Wayne County,8322,16028,25575
18179,56.49622799664711,IN,Wells County,2585,9999,13123
18181,42.920622096546154,IN,White County,2563,6813,9902
18183,51.35500482780817,IN,Whitley County,3379,11357,15535
20001,40.96725630410237,KS,Allen County,1398,3575,5314
20003,52.51754653646628,KS,Anderson County,665,2386,3277
20005,31.769122477709992,KS,Atchison County,1946,3977,6393
20007,69.76007243096424,KS,Barber County,281,1822,2209
20009,58.91157811260904,KS,Barton County,1823,7766,10088
20011,50.82798242649543,KS,Bourbon County,1306,4314,5918
20013,50.782828282828284,KS,Brown County,850,2861,3960
20015,45.440094636057815,KS,Butler County,6489,18781,27051
20017,48.5096870342772,KS,Chase County,313,964,1342
20019,71.32791327913279,KS,Chautauqua County,236,1552,1845
20021,48.39017409968996,KS,Cherokee County,1959,6017,8386
20023,69.83676366217175,KS,Cheyenne County,188,1172,1409
20025,70.70193285859614,KS,Clark County,118,813,983
20027,58.11644754494232,KS,Clay County,665,2831,3727
20029,55.12920908379013,KS,Cloud County,744,2856,3831
20031,57.31953558808682,KS,Coffey County,719,2990,3962
20033,70.36172695449243,KS,Comanche County,102,705,857
20035,37.630432996467015,KS,Cowley County,3436,8016,12171
20037,23.118578172729798,KS,Crawford County,5064,8394,14404
20039,71.36986301369863,KS,Decatur County,178,1220,1460
20041,53.98351648351648,KS,Dickinson County,1582,5905,8008
20043,59.92275698158052,KS,Doniphan County,584,2601,3366
20045,-32.71962016130704,KS,Douglas County,30089,14308,48231
20047,63.07339449541285,KS,Edwards County,208,1033,1308
20049,70.53216838760922,KS,Elk County,160,1048,1259
20051,48.3876500857633,KS,Ellis County,2669,8311,11660
20053,53.998476770754,KS,Ellsworth County,515,1933,2626
20055,32.360497379508786,KS,Finney County,3006,6155,9731
20057,39.89225589225589,KS,Ford County,2032,4994,7425
20059,39.369487708763366,KS,Franklin County,2829,7025,10658
20061,21.700098190489552,KS,Geary County,2569,4116,7129
20063,73.64457831325302,KS,Gove County,149,1127,1328
20065,65.45454545454545,KS,Graham County,185,1013,1265
20067,57.464301168325406,KS,Grant County,427,1755,2311
20069,69.31874689209349,KS,Gray County,257,1651,2011
20071,68.85758998435054,KS,Greeley County,83,523,639
20073,59.12486659551761,KS,Greenwood County,484,2146,2811
20075,68.00472255017709,KS,Hamilton County,114,690,847
20077,62.15678471945881,KS,Harper County,388,1950,2513
20079,24.050894085281982,KS,Harvey County,5006,8503,14540
20081,60.23076923076923,KS,Haskell County,228,1011,1300
20083,71.66998011928429,KS,Hodgeman County,124,845,1006
20085,41.88929631569757,KS,Jackson County,1489,3888,5727
