"player","team","G","GS","MP","FG","FGA","3P","3PA","FT","FTA","ORB","DRB","AST","STL","BLK","TOV","PF","PTS","height","weight","college","birth_year","birth_state"
"Roy Hibbert","CHO",48,13,682,80,147,0,0,61,75,54,100,21,8,46,32,100,221,218,122,"Georgetown University",1986,"New York"
"Rudy Gay","SAC",30,30,1013,201,442,42,113,118,138,35,155,82,44,26,74,79,562,203,104,"University of Connecticut",1986,"New York"
"Rudy Gobert","UTA",81,81,2744,413,624,0,1,311,476,314,721,97,49,214,148,246,1137,216,111,NA,1992,"France"
"Russell Westbrook","OKC",81,81,2802,824,1941,200,583,710,840,137,727,840,133,31,438,190,2558,190,90,"University of California, Los Angeles",1988,"California"
"Ryan Anderson","HOU",72,72,2116,323,773,204,506,129,150,112,218,68,32,14,55,142,979,208,108,"University of California",1988,"California"
"Ryan Kelly","ATL",16,0,110,8,28,4,10,5,6,1,17,8,4,5,4,5,25,211,104,"Duke University",1991,"New York"
"Salah Mejri","DAL",73,11,905,88,137,1,3,36,61,97,211,14,32,61,40,152,213,216,111,NA,1986,"Tunisia"
"Sam Dekker","HOU",77,2,1419,203,429,60,187,38,68,94,190,76,38,21,41,83,504,206,104,"University of Wisconsin",1994,"Wisconsin"
"Sasha Vujacic","NYK",42,4,408,42,136,23,74,17,24,12,47,52,13,2,16,38,124,201,88,NA,1984,"Slovenia"
"Sean Kilpatrick","BRK",70,24,1754,305,735,105,308,204,242,22,258,157,46,6,136,118,919,193,95,"University of Cincinnati",1990,"New York"
"Semaj Christon","OKC",64,1,973,77,223,12,63,17,31,19,69,130,28,6,43,79,183,190,86,"Xavier University",1992,"Ohio"
"Serge Ibaka","ORL",79,79,2422,471,982,124,317,107,125,129,409,75,41,124,105,215,1173,208,106,NA,1989,"Republic of the Congo"
"Sergio Rodriguez","PHI",68,30,1518,210,536,92,252,18,27,21,136,344,48,4,128,95,530,190,79,NA,1986,"Spain"
"Seth Curry","DAL",70,42,2029,338,703,137,322,85,100,25,153,188,79,7,92,126,898,188,83,"Duke University",1990,"North Carolina"
"Shabazz Muhammad","MIN",78,1,1516,288,598,49,146,147,190,84,136,35,22,6,56,86,772,198,101,"University of California, Los Angeles",1992,"California"
"Shabazz Napier","POR",53,2,512,73,183,34,92,38,49,8,53,67,32,2,41,38,218,185,79,"University of Connecticut",1991,"Massachusetts"
"Shaun Livingston","GSW",76,3,1345,173,316,1,3,42,60,28,123,139,38,20,61,120,389,201,87,NA,1985,"Illinois"
"Shawn Long","PHI",18,0,234,61,109,7,19,19,35,41,44,13,9,9,13,49,148,206,115,"University of Louisiana at Lafayette",1993,"Louisiana"
"Sheldon McClellan","WAS",30,3,287,30,75,7,30,23,27,4,30,15,8,2,5,17,90,196,90,"University of Miami",1992,"Texas"
"Shelvin Mack","UTA",55,9,1205,170,381,37,120,53,77,20,108,154,42,3,90,100,430,190,92,"Butler University",1990,"Kentucky"
"Skal Labissiere","SAC",33,12,612,117,218,3,8,52,74,51,111,27,16,13,37,64,289,211,102,"University of Kentucky",1996,"Haiti"
"Solomon Hill","NOP",80,71,2374,183,477,94,270,103,128,51,256,141,71,32,82,182,563,201,102,"University of Arizona",1991,"California"
"Spencer Dinwiddie","BRK",59,18,1334,134,302,38,101,126,159,27,137,185,44,23,66,119,432,198,90,"University of Colorado",1993,"California"
"Spencer Hawes","CHO",54,1,797,134,277,25,81,44,52,38,153,81,15,30,49,77,337,216,111,"University of Washington",1988,"Washington"
"Stanley Johnson","DET",77,1,1371,129,365,45,154,36,53,36,153,105,56,24,71,121,339,NA,NA,NA,NA,NA
"Stephen Curry","GSW",79,79,2638,675,1443,324,789,325,362,61,292,523,143,17,239,183,1999,190,86,"Davidson College",1988,"Ohio"
"Stephen Zimmerman","ORL",19,0,108,10,31,0,0,3,5,11,24,4,2,5,3,17,23,213,108,"University of Nevada, Las Vegas",1996,"Tennessee"
"Steve Novak","MIL",8,0,22,2,7,1,6,0,0,0,3,0,0,0,0,1,5,208,102,"Marquette University",1983,"Illinois"
"Steven Adams","OKC",80,80,2389,374,655,0,1,157,257,282,333,86,88,78,146,195,905,213,115,"University of Pittsburgh",1993,"New Zealand"
"T.J. McConnell","PHI",81,51,2133,236,512,11,55,73,90,39,212,534,134,10,159,139,556,208,108,NA,1994,NA
"T.J. Warren","PHO",66,59,2048,403,814,26,98,119,154,125,214,75,76,39,57,175,951,208,108,NA,1995,NA
"Taj Gibson","CHI",78,71,1989,365,709,3,13,113,158,158,328,73,42,66,105,163,846,206,102,"University of Southern California",1985,"New York"
"Tarik Black","LAL",67,16,1091,150,294,1,2,82,109,143,199,39,30,44,58,173,383,206,113,"University of Kansas",1991,"Tennessee"
"Taurean Waller-Prince","ATL",59,10,981,114,285,33,102,74,94,25,132,55,43,27,61,96,335,183,88,NA,1994,NA
"Terrence Jones","NOP",54,12,1270,231,491,19,75,103,170,65,241,58,40,54,48,67,584,206,114,"University of Kentucky",1992,"Oregon"
"Terrence Ross","TOR",78,24,1955,326,746,142,391,64,77,18,189,88,88,33,68,143,858,201,93,"University of Washington",1991,"Oregon"
"Terry Rozier","BOS",74,0,1263,151,411,57,179,51,66,40,187,131,45,11,47,69,410,188,86,"University of Louisville",1994,"Ohio"
"Thabo Sefolosha","ATL",62,42,1596,174,395,41,120,55,75,54,216,107,96,31,58,97,444,201,99,NA,1984,"Switzerland"
"Thaddeus Young","IND",74,74,2237,362,687,45,118,45,86,131,318,122,114,30,96,135,814,203,100,"Georgia Institute of Technology",1988,"Louisiana"
"Thomas Robinson","LAL",48,1,560,105,196,0,1,31,66,84,139,31,26,9,46,76,241,208,107,"University of Kansas",1991,"District of Columbia"
"Thon Maker","MIL",57,34,562,83,181,28,74,32,49,40,74,23,10,26,17,84,226,216,97,NA,1997,NA
"Tiago Splitter","PHI",8,0,76,14,31,2,6,9,11,8,14,4,1,1,6,8,39,211,111,NA,1985,"Brazil"
"Tim Frazier","NOP",65,35,1525,163,404,40,128,98,129,34,139,335,56,6,101,133,464,185,77,"Pennsylvania State University",1990,"Texas"
"Tim Hardaway","ATL",79,30,2154,415,912,149,417,164,214,35,189,182,55,15,106,103,1143,NA,NA,NA,NA,NA
